date,week,start_date,end_date
2019-01-20,201904,2019-01-20,2019-01-26
2019-01-27,201905,2019-01-27,2019-02-02
2019-02-03,201906,2019-02-03,2019-02-09
2019-02-10,201907,2019-02-10,2019-02-16
2019-02-17,201908,2019-02-17,2019-02-23
2019-02-24,201909,2019-02-24,2019-03-02
2019-03-03,201910,2019-03-03,2019-03-09
2019-03-10,201911,2019-03-10,2019-03-16
2019-03-17,201912,2019-03-17,2019-03-23
2019-03-24,201913,2019-03-24,2019-03-30
2019-03-31,201914,2019-03-31,2019-04-06
2019-04-07,201915,2019-04-07,2019-04-13
2019-04-14,201916,2019-04-14,2019-04-20
2019-04-21,201917,2019-04-21,2019-04-27
2019-04-28,201918,2019-04-28,2019-05-04
2019-05-05,201919,2019-05-05,2019-05-11
2019-05-12,201920,2019-05-12,2019-05-18
2019-05-19,201921,2019-05-19,2019-05-25
2019-05-26,201922,2019-05-26,2019-06-01
2019-06-02,201923,2019-06-02,2019-06-08
2019-06-09,201924,2019-06-09,2019-06-15
2019-06-16,201925,2019-06-16,2019-06-22
2019-06-23,201926,2019-06-23,2019-06-29
2019-06-30,201927,2019-06-30,2019-07-06
2019-07-07,201928,2019-07-07,2019-07-13
2019-07-14,201929,2019-07-14,2019-07-20
2019-07-21,201930,2019-07-21,2019-07-27
2019-07-28,201931,2019-07-28,2019-08-03
2019-08-04,201932,2019-08-04,2019-08-10
2019-08-11,201933,2019-08-11,2019-08-17
2019-08-18,201934,2019-08-18,2019-08-24
2019-08-25,201935,2019-08-25,2019-08-31
2019-09-01,201936,2019-09-01,2019-09-07
2019-09-08,201937,2019-09-08,2019-09-14
2019-09-15,201938,2019-09-15,2019-09-21
2019-09-22,201939,2019-09-22,2019-09-28
2019-09-29,201940,2019-09-29,2019-10-05
2019-10-06,201941,2019-10-06,2019-10-12
2019-10-13,201942,2019-10-13,2019-10-19
2019-10-20,201943,2019-10-20,2019-10-26
2019-10-27,201944,2019-10-27,2019-11-02
2019-11-03,201945,2019-11-03,2019-11-09
2019-11-10,201946,2019-11-10,2019-11-16
2019-11-17,201947,2019-11-17,2019-11-23
2019-11-24,201948,2019-11-24,2019-11-30
2019-12-01,201949,2019-12-01,2019-12-07
2019-12-08,201950,2019-12-08,2019-12-14
2019-12-15,201951,2019-12-15,2019-12-21
2019-12-22,201952,2019-12-22,2019-12-28
2019-12-29,202001,2019-12-29,2020-01-04
2020-01-05,202002,2020-01-05,2020-01-11
2020-01-12,202003,2020-01-12,2020-01-18
2020-01-19,202004,2020-01-19,2020-01-25
2020-01-26,202005,2020-01-26,2020-02-01
2020-02-02,202006,2020-02-02,2020-02-08
2020-02-09,202007,2020-02-09,2020-02-15
2020-02-16,202008,2020-02-16,2020-02-22
2020-02-23,202009,2020-02-23,2020-02-29
2020-03-01,202010,2020-03-01,2020-03-07
2020-03-08,202011,2020-03-08,2020-03-14
2020-03-15,202012,2020-03-15,2020-03-21
2020-03-22,202013,2020-03-22,2020-03-28
2020-03-29,202014,2020-03-29,2020-04-04
2020-04-05,202015,2020-04-05,2020-04-11
2020-04-12,202016,2020-04-12,2020-04-18
2020-04-19,202017,2020-04-19,2020-04-25
2020-04-26,202018,2020-04-26,2020-05-02
2020-05-03,202019,2020-05-03,2020-05-09
2020-05-10,202020,2020-05-10,2020-05-16
2020-05-17,202021,2020-05-17,2020-05-23
2020-05-24,202022,2020-05-24,2020-05-30
2020-05-31,202023,2020-05-31,2020-06-06
2020-06-07,202024,2020-06-07,2020-06-13
2020-06-14,202025,2020-06-14,2020-06-20
2020-06-21,202026,2020-06-21,2020-06-27
2020-06-28,202027,2020-06-28,2020-07-04
2020-07-05,202028,2020-07-05,2020-07-11
2020-07-12,202029,2020-07-12,2020-07-18
2020-07-19,202030,2020-07-19,2020-07-25
2020-07-26,202031,2020-07-26,2020-08-01
2020-08-02,202032,2020-08-02,2020-08-08
2020-08-09,202033,2020-08-09,2020-08-15
2020-08-16,202034,2020-08-16,2020-08-22
2020-08-23,202035,2020-08-23,2020-08-29
2020-08-30,202036,2020-08-30,2020-09-05
2020-09-06,202037,2020-09-06,2020-09-12
2020-09-13,202038,2020-09-13,2020-09-19
2020-09-20,202039,2020-09-20,2020-09-26
2020-09-27,202040,2020-09-27,2020-10-03
2020-10-04,202041,2020-10-04,2020-10-10
2020-10-11,202042,2020-10-11,2020-10-17
2020-10-18,202043,2020-10-18,2020-10-24
2020-10-25,202044,2020-10-25,2020-10-31
2020-11-01,202045,2020-11-01,2020-11-07
2020-11-08,202046,2020-11-08,2020-11-14
2020-11-15,202047,2020-11-15,2020-11-21
2020-11-22,202048,2020-11-22,2020-11-28
2020-11-29,202049,2020-11-29,2020-12-05
2020-12-06,202050,2020-12-06,2020-12-12
2020-12-13,202051,2020-12-13,2020-12-19
2020-12-20,202052,2020-12-20,2020-12-26
2020-12-27,202053,2020-12-27,2021-01-02
2021-01-03,202101,2021-01-03,2021-01-09
2021-01-10,202102,2021-01-10,2021-01-16
2021-01-17,202103,2021-01-17,2021-01-23
2021-01-24,202104,2021-01-24,2021-01-30
2021-01-31,202105,2021-01-31,2021-02-06
2021-02-07,202106,2021-02-07,2021-02-13
2021-02-14,202107,2021-02-14,2021-02-20
2021-02-21,202108,2021-02-21,2021-02-27
2021-02-28,202109,2021-02-28,2021-03-06
