date,week,cases,population,tempe_min,humidity_max,humidity_avg,humidity_min,temp_avg,temp_max,geocode,vim,vim_monthly,precipitation_avg_ordinary_krigging,precipitation_max_ordinary_krigging,precipitation_avg_regression_krigging,precipitation_max_regression_krigging,case_increase,is_outbreak,outbreak_label
2019-05-26,201922,1,15514.0,21.1428571428571,91.7963114285714,75.66366,61.4673774285714,24.9489794285714,27.5714285714286,3300902,0.7003540907843345,0.7300333333333334,0.0688,2.8385,0.1001,1.5944,-2.0,0,0
2014-08-10,201433,0,15514.0,17.8571428571429,95.7142857142857,76.1746948571429,51.4285714285714,22.2605528571429,26.4285714285714,3300902,0.5150588812238827,0.5197333333333333,0.6821,3.3875,0.6647,3.4135,0.0,0,0
2015-08-09,201532,0,15514.0,18.4285714285714,98.2857142857143,77.7829925714286,51.8571428571429,22.5142857142857,25.7142857142857,3300902,0.5986780655015076,0.5930666666666666,0.3666,1.8666,0.3661,1.8637,0.0,0,0
2013-09-22,201339,0,15514.0,20.1428571428571,91.2857142857143,70.2614977142857,49.2857142857143,23.4329251428571,27.0,3300902,0.5457650143420941,0.5413666666666667,1.752,11.5539,1.7466,11.5111,0.0,0,0
2016-07-03,201627,0,15514.0,19.0,93.5714285714286,91.3809525714286,88.8571428571429,19.5646258571429,20.0,3300902,0.6817,0.6558,0.0491,0.1345,0.0486,0.1335,0.0,0,0
2016-01-24,201604,0,15514.0,24.8571428571429,94.2857142857143,87.986395,81.0,26.2040817142857,27.4285714285714,3300902,0.7493988241019629,0.7523333333333334,2.6672,14.5765,2.0807,12.5836,-4.0,0,0
2017-01-15,201703,0,15514.0,24.5714285714286,92.5714285714286,85.9721371428571,80.5714285714286,26.0084032857143,27.1428571428571,3300902,0.7090590903695966,0.7126333333333333,1.0858,6.6172,1.1376,7.1083,0.0,0,0
2012-03-04,201210,0,15514.0,22.8571428571429,100.0,71.8608291428571,39.4285714285714,27.7540278571429,32.4285714285714,3300902,0.7248714530718309,0.7317666666666667,1.1867,5.3867,0.7231,4.0433,0.0,0,0
2021-02-07,202106,0,15514.0,23.0,92.7358242857143,73.8137251428571,60.5483191428571,26.1601731428571,28.4285714285714,3300902,0.7528796232557896,0.7566666666666667,3.6649,17.0245,3.3935,16.5583,0.0,0,0
2021-09-19,202138,0,15514.0,21.0,84.8670692857143,64.0634188571429,52.5664932857143,24.6904762857143,26.8571428571429,3300902,0.5621363404480473,0.5515666666666666,0.2937,1.8643,0.3258,2.0448,0.0,0,0
2021-10-10,202141,0,15514.0,21.8571428571429,95.974258,86.9718298571429,79.6455138571429,23.4285714285714,24.8571428571429,3300902,0.6273527008163797,0.6379,2.2583,7.3141,2.1832,4.5339,0.0,0,0
2013-09-08,201337,0,15514.0,19.4285714285714,96.5714285714286,72.6304105714286,48.5714285714286,24.0816172857143,27.7142857142857,3300902,0.539086177308765,0.5413666666666667,0.0819,0.3255,0.065,0.3221,0.0,0,0
2019-06-02,201923,0,15514.0,19.8571428571429,92.3597605714286,84.9539562857143,81.0690507142857,20.8367347142857,21.5714285714286,3300902,0.6854058493738152,0.6659333333333334,2.556,9.9885,2.6053,9.4508,-1.0,0,0
2018-07-08,201828,0,15514.0,18.4285714285714,89.4163454285714,85.6384177142857,82.2753834285714,18.8673468571429,19.4285714285714,3300902,0.6116381631542263,0.6135333333333334,1.4165,7.0717,1.5526,7.4215,0.0,0,0
2021-01-24,202104,0,15514.0,25.4285714285714,72.7938035714286,52.921443,43.7884657142857,29.8504325714286,32.0,3300902,0.7482951231193548,0.7484333333333333,0.0003,0.001,0.0,0.0,0.0,0,0
2018-06-24,201826,0,15514.0,20.2857142857143,93.3081071428571,76.5435222857143,61.5375185714286,23.632653,26.2857142857143,3300902,0.6262714221582454,0.6555333333333334,0.1632,1.1189,0.1632,1.1183,0.0,0,0
2014-03-09,201411,0,15514.0,23.7142857142857,91.8571428571429,69.0938774285714,40.5714285714286,28.1268027142857,32.2857142857143,3300902,0.7033693230135586,0.7031999999999999,0.3821,2.4375,0.4062,2.6886,0.0,0,0
2022-12-04,202249,0,15514.0,23.8571428571429,92.70214,78.1660742857143,66.3004725714286,25.9428574285714,28.1428571428571,3300902,0.7423883480197014,0.7526999999999999,1.8253,8.1846,1.6581,7.6668,0.0,0,0
2015-12-27,201552,2,15514.0,24.5714285714286,88.5714285714286,83.0844154285714,78.5714285714286,25.7207794285714,26.7142857142857,3300902,0.7574576640957696,0.7487,3.577,13.4215,3.0346,11.8093,1.0,0,0
2016-01-31,201605,3,15514.0,25.0,95.7142857142857,69.5442171428571,41.8571428571429,29.8843542857143,34.1428571428571,3300902,0.7482506032278602,0.7523333333333334,0.1515,0.925,0.0158,0.1014,3.0,0,0
2015-01-04,201501,0,15514.0,24.8571428571429,84.2857142857143,61.3972665714286,37.1428571428571,29.5473505714286,33.4285714285714,3300902,0.7051,0.6889,0.1481,0.0048,0.1312,0.0,0.0,0,0
2018-07-01,201827,0,15514.0,19.7142857142857,91.5694814285714,83.4818757142857,74.9837192857143,21.612245,23.2857142857143,3300902,0.6169051586603167,0.6135333333333334,0.4062,2.2696,0.4536,2.6612,0.0,0,0
2014-10-05,201441,0,15514.0,19.5714285714286,89.7142857142857,65.3599257142857,37.8571428571429,23.8491031428571,27.5714285714286,3300902,0.49295445675704264,0.5052333333333333,0.0267,0.1471,0.0262,0.1448,0.0,0,0
2013-07-21,201330,0,15514.0,18.1428571428571,94.8571428571429,76.8818637142857,56.8571428571429,22.1173291428571,26.1428571428571,3300902,0.6133313319292467,0.6457666666666667,0.1768,0.8372,0.1755,0.8313,0.0,0,0
2019-12-15,201951,0,15514.0,25.5714285714286,83.2630245714286,70.0417684285714,60.2898112857143,28.4642857142857,30.4285714285714,3300902,0.7548733478559959,0.7409333333333333,1.1719,6.3012,1.1058,5.2505,0.0,0,0
2016-12-18,201651,0,15514.0,24.6,95.2,86.16,78.0,26.28,27.4,3300902,0.7244932888940424,0.7188,1.0381,3.4857,1.0376,3.4967,0.0,0,0
2021-01-10,202102,0,15514.0,25.7142857142857,79.4275731428571,61.2128764285714,52.0054064285714,29.0699134285714,30.8571428571429,3300902,0.7483067299544093,0.7484333333333333,1.0935,11.5154,1.7503,9.4223,0.0,0,0
